expo,table,project,sponsors,link,route
1,36,OHQ: office hours made better,"Best User Experience, Best Progressive Web App",http://pennapps-xiv.devpost.com/submissions/56632-ohq-office-hours-made-better,education
1,37,SmartNotes,"Best Use of Data Visualization, Best Use of Linode Services, Best Use of MongoDB, Best User Experience, Best Progressive Web App",http://pennapps-xiv.devpost.com/submissions/56635-smartnotes,education
1,38,glTF Emoji Render Plugin,"Best Use of Data Visualization, Best User Experience, Best Progressive Web App",http://pennapps-xiv.devpost.com/submissions/56636-gltf-emoji-render-plugin,social + civic hacking
1,39,PiThon,,http://pennapps-xiv.devpost.com/submissions/56637-pithon,cybersecurity
1,40,PHELLS,"Best Use of MongoDB, Best User Experience",http://pennapps-xiv.devpost.com/submissions/56638-phells,social + civic hacking
1,41,PYNQ Jam,"Best Design Using PYNQ-Z1 Boards, Peripherals, and Tools (3)",http://pennapps-xiv.devpost.com/submissions/56639-pynq-jam,hardware
1,42,hospital.ity,"Most Entrepreneurial Hack, Best User Experience",http://pennapps-xiv.devpost.com/submissions/56641-hospital-ity,health
1,43,eyeHUD,"Best Public Safety or Video Processing App, Most Entrepreneurial Hack",http://pennapps-xiv.devpost.com/submissions/56642-eyehud,vr/ar
1,44,Ventus,,http://pennapps-xiv.devpost.com/submissions/56643-ventus,social + civic hacking
1,45,eagleEye,"Best Use of Data Visualization, Most Entrepreneurial Hack, Best User Experience",http://pennapps-xiv.devpost.com/submissions/56644-eagleeye,social + civic hacking
1,46,EngineeringKit,Best User Experience,http://pennapps-xiv.devpost.com/submissions/56645-engineeringkit,education
1,47,HLSettingsView,,http://pennapps-xiv.devpost.com/submissions/56646-hlsettingsview,
1,48,HACK 2G3TH3R (Hack Together),"Best User Experience, Best Progressive Web App",http://pennapps-xiv.devpost.com/submissions/56647-hack-2g3th3r-hack-together,social + civic hacking
1,49,Crowd Compute,"Best Use of Data Visualization, Most Entrepreneurial Hack, Best Use of the Capital One API - Nessie, Best User Experience, Best Progressive Web App",http://pennapps-xiv.devpost.com/submissions/56649-crowd-compute,social + civic hacking
1,50,Dr. Jarvis,"Best Use of Data Visualization, Best Public Safety or Video Processing App, Lutron IoT Prize, Best Use of MongoDB, Best User Experience",http://pennapps-xiv.devpost.com/submissions/56651-dr-jarvis,health
1,51,Lantern,"Best Public Safety or Video Processing App, Most Entrepreneurial Hack, Best Domain Name Registered in PennApps XIV, Best User Experience, Best Use of Lyft API",http://pennapps-xiv.devpost.com/submissions/56654-lantern,social + civic hacking
1,52,Encrypted Messenger,,http://pennapps-xiv.devpost.com/submissions/56655-encrypted-messenger,
1,53,Emogram,"Best Use of Data Visualization, Most Entrepreneurial Hack, Best Domain Name Registered in PennApps XIV, Best Use of Linode Services, Best User Experience, Best Progressive Web App",http://pennapps-xiv.devpost.com/submissions/56656-emogram,social + civic hacking
1,54,Elsa Smart Insulin Pen,Most Entrepreneurial Hack,http://pennapps-xiv.devpost.com/submissions/56657-elsa-smart-insulin-pen,health
1,55,tEXt (working title),"Most Entrepreneurial Hack, Best Use of Nexmo API",http://pennapps-xiv.devpost.com/submissions/56658-text-working-title,social + civic hacking
1,56,N2Patent,"Best Use of Data Visualization, Most Entrepreneurial Hack",http://pennapps-xiv.devpost.com/submissions/56659-n2patent,social + civic hacking
1,57,Odin,"Most Entrepreneurial Hack, Best Use of Linode Services, Best Use of MongoDB",http://pennapps-xiv.devpost.com/submissions/56660-odin,education
1,58,Newstock,"Best Use of Data Visualization, Most Entrepreneurial Hack, Best Use of Linode Services",http://pennapps-xiv.devpost.com/submissions/56661-newstock,social + civic hacking
1,59,go to rite aid for like an hour or more like 2 and 1/3,,http://pennapps-xiv.devpost.com/submissions/56663-go-to-rite-aid-for-like-an-hour-or-more-like-2-and-1-3,
1,60,RedSi,"Most Entrepreneurial Hack, Lutron IoT Prize, Best Domain Name Registered in PennApps XIV, Best Use of Linode Services, Best User Experience",http://pennapps-xiv.devpost.com/submissions/56664-redsi,education
1,61,MusicShift,"Most Entrepreneurial Hack, Lutron IoT Prize, Best Use of MongoDB, Best User Experience, Best Progressive Web App",http://pennapps-xiv.devpost.com/submissions/56665-musicshift,hardware
1,62,Matr,Best User Experience,http://pennapps-xiv.devpost.com/submissions/56666-matr,social + civic hacking
1,63,PicSpeak,Best Use of Linode Services,http://pennapps-xiv.devpost.com/submissions/56667-picspeak,education
1,64,Yapper,"Best Use of Data Visualization, Most Entrepreneurial Hack, Best User Experience, Best Use of Lyft API",http://pennapps-xiv.devpost.com/submissions/56668-yapper,
1,65,Showcase,"Best Public Safety or Video Processing App, Most Entrepreneurial Hack, Best User Experience, Best Progressive Web App",http://pennapps-xiv.devpost.com/submissions/56669-showcase,social + civic hacking
